ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(Â°C),Water Temp(Â°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
613700748,Photo,American Robin,Turdus migratorius,,Donna Wadsley,2019-01-22,2019.0,1.0,22.0,1129.0,United States,US-MD-019,Maryland,Dorchester,Blackwater NWR--Key Wallace Dr,38.4469883,-76.120722,,,Unspecified,,,,,,,,,S159241640,,,,,,Turdus migratorius,amerob,Species,28096.0,,2.5,2.0,,1692.0,2538.0
610810951,Photo,Limpkin,Aramus guarauna,,Ryan Bakelaar,2023-11-05,2023.0,11.0,5.0,1430.0,United States,US-TX-215,Texas,Hidalgo,Estero Llano Grande SP WBC (LTC 054),26.1268335,-97.9578167,,,Unspecified,,,,,,,,,S153864018,,,,,2 birds continuing in large body of water on far side of farthest levee.  Photographed.,Aramus guarauna,limpki,Species,5642.0,,0.0,0.0,,4000.0,6000.0
532462291,Photo,Snowy Owl,Bubo scandiacus,,Germain Savard,2013-01-12,2013.0,1.0,12.0,1545.0,Canada,CA-QC-LS,Quebec,Lac-Saint-Jean-Est,"Saint-GÃ©dÃ©on, route 170",48.4776789,-71.7402875,,,Unspecified,,,,,,,,,S104950441,,,,,,Bubo scandiacus,snoowl1,Species,8704.0,,4.0,1.0,,3000.0,4000.0
210977261,Photo,Razorbill,Alca torda,,Melody Ragle,2020-02-22,2020.0,2.0,22.0,1349.0,United States,US-NJ-025,New Jersey,Monmouth,Shark River Inlet,40.1871294,-74.0080422,,,Unspecified,,,,,,,,,S64865493,,,,,,Alca torda,razorb,Species,6372.0,,3.0,1.0,,1998.0,2209.0
159985191,Photo,Razorbill,Alca torda,,Chris S. Wood,2019-05-19,2019.0,5.0,19.0,1120.0,United States,US-ME-013,Maine,Knox,Seal Island NWR (island vicinity ONLY),43.8894651,-68.7374814,,,Unspecified,,,,,,,,,S56571647,,,,,too many to count from bouncing boat,Alca torda,razorb,Species,6372.0,,4.5,2.0,,944.0,1416.0
54400661,Photo,American Bittern,Botaurus lentiginosus,,Glenn Wyatt,2017-04-12,2017.0,4.0,12.0,1040.0,United States,US-AR-145,Arkansas,White,Bald Knob NWR,35.2744747,-91.571223,,,Unspecified,,,,,,,,,S35934199,,,,,,Botaurus lentiginosus,amebit,Species,7335.0,,4.0,3.0,,2400.0,3600.0
613352588,Photo,Red-tailed Hawk,Buteo jamaicensis,,Timothy Graves,2024-01-10,2024.0,1.0,10.0,1010.0,United States,US-NY-005,New York,Bronx,Pelham Bay Park--Twin Islands,40.8715659,-73.7853384,Immature â 1,,Unspecified,,,,,,,,,S158569401,,,,,,Buteo jamaicensis,rethaw,Species,8312.0,,4.67,3.0,,2315.0,3472.0
611420047,Photo,Wood Duck,Aix sponsa,,Matthew Cozart,2023-11-20,2023.0,11.0,20.0,1055.0,United States,US-ID-001,Idaho,Ada,Kathryn Albertson Park,43.614321,-116.2247446,,,Unspecified,,,,,,,,,S154863574,,,,,,Aix sponsa,wooduc,Species,433.0,,3.0,1.0,,1278.0,1917.0
613640322,Photo,Common Loon,Gavia immer,,Kyle  Gallagher,2024-01-17,2024.0,1.0,17.0,950.0,United States,US-NJ-007,New Jersey,Camden,"White Horse Rd, Voorhees US-NJ (39.8603,-74.9748)",39.860264,-74.974813,,,Unspecified,,,,,,,,,S159128561,,,,,Very odd. Sitting in the field right next to the road. I was able to get a few photos on my phone. Definitely not a decoy since it was moving its head around. Thick bill and flat head.,Gavia immer,comloo,Species,6774.0,,0.0,0.0,,760.0,936.0
615822064,Photo,Wood Duck,Aix sponsa,,Gerry Hawkins,2024-03-09,2024.0,3.0,9.0,809.0,United States,US-DC-001,District of Columbia,District of Columbia,East Potomac Park--Hains Pt.,38.87311,-77.0257888,Adult Female â 1,,Unspecified,,,,,,,,,S164206661,,,,,,Aix sponsa,wooduc,Species,433.0,,4.0,1.0,,3888.0,5184.0
615431220,Photo,Glossy Ibis,Plegadis falcinellus,,Yanira Cifuentes Sarmiento,2017-03-29,2017.0,3.0,29.0,900.0,Colombia,CO-CAS,Casanare,,Chaviripa-El RubÃ­ (AICA CO204),5.6252964,-70.7032013,,,Unspecified,,,,,,,,,S44937211,,,,,,Plegadis falcinellus,gloibi,Species,7551.0,,0.0,0.0,,3864.0,5152.0
324236441,Photo,American Bittern,Botaurus lentiginosus,,Elie Tabet,2021-04-08,2021.0,4.0,8.0,1230.0,United States,US-IN-097,Indiana,Marion,Eagle Creek Park--South Woods and SE Pond,39.8544221,-86.2869473,,,Unspecified,,,,,,,,,S85116375,,,,,,Botaurus lentiginosus,amebit,Species,7335.0,,5.0,3.0,,1750.0,2625.0
395222961,Photo,American Bittern,Botaurus lentiginosus,,Steve Colwell,2021-12-11,2021.0,12.0,11.0,830.0,United States,US-CA-083,California,Santa Barbara,Coal Oil Point Reserve--Devereux Slough,34.4136013,-119.8756027,,,Unspecified,,,,,,,,,S98761414,,,,,"Continuing bird.  At 9:10am was in the reeds visible for 20 min at the big snag about 60ft N of the bridge to nowhere.  When I came back at 11:15am it was visible in the reeds 60ft SW of the bridge to nowhere, then disappeared deeper into the reeds.",Botaurus lentiginosus,amebit,Species,7335.0,,3.4,5.0,,4083.0,5795.0
539281881,Photo,Long-eared Owl,Asio otus,,Patrick Morgan,2023-02-24,2023.0,2.0,24.0,1500.0,Canada,CA-ON-DR,Ontario,Durham,"West Lynde, Whitby",43.86972,-78.970404,,,Unspecified,,,,,,,,,S129595877,,,,,"A Long-eared Owl observed, roosting in late afternoon in the woodlot",Asio otus,loeowl,Species,9045.0,,4.0,1.0,,3880.0,3880.0
611454561,Photo,Limpkin,Aramus guarauna,,Isidro Montemayor,2023-11-18,2023.0,11.0,18.0,1400.0,United States,US-TX-061,Texas,Cameron,San Benito--Cantu corner,26.090965,-97.6767309,,,Unspecified,,,,,,,,,S154737281,,,,,"Long neck, overall brown with white speckleding",Aramus guarauna,limpki,Species,5642.0,,2.0,1.0,,1677.0,2442.0
613990437,Photo,Glossy Ibis,Plegadis falcinellus,,Stephen Dickson,2024-01-25,2024.0,1.0,25.0,1317.0,United States,US-SC-053,South Carolina,Jasper,"Savannah National Wildlife Refuge, Hardeeville US-SC 32.16525, -81.11471",32.165246,-81.11471,,,Unspecified,,,,,,,,,S159779544,,,,,,Plegadis falcinellus,gloibi,Species,7551.0,,1.0,1.0,,3456.0,4608.0
615769955,Photo,American Robin,Turdus migratorius,,Michael McGovern,2024-02-28,2024.0,2.0,28.0,1200.0,United States,US-NM-057,New Mexico,Torrance,Salinas Pueblo Missions NM--Abo Ruins,34.4497413,-106.376667,,,Unspecified,,,,,,,,,S164047731,,,,,,Turdus migratorius,amerob,Species,28096.0,,5.0,1.0,Habitat,2145.0,3813.0
615141291,Photo,Wood Duck,Aix sponsa,,Mark Penkower,2024-02-20,2024.0,2.0,20.0,1755.0,United States,US-FL-099,Florida,Palm Beach,Green Cay Wetlands & Nature Center,26.4861584,-80.1607561,,,Unspecified,,,,,,,,,S162408722,,,,,,Aix sponsa,wooduc,Species,433.0,,3.5,2.0,,2723.0,4608.0
615655429,Photo,Mallard,Anas platyrhynchos,,Cindy Sherwood,2024-03-04,2024.0,3.0,4.0,1124.0,United States,US-VA-830,Virginia,Williamsburg,Golden Horseshoe Golf Course,37.255163,-76.69225,,,Unspecified,,,,,,,,,S163708181,,,,,,Anas platyrhynchos,mallar3,Species,515.0,,0.0,0.0,,3000.0,4000.0
611246897,Photo,Limpkin,Aramus guarauna,,David Assmann,2023-10-22,2023.0,10.0,22.0,1412.0,United States,US-IL-031,Illinois,Cook,Skokie Lagoons Forest Preserve--North Branch Trail,42.1291257,-87.7750325,,,Unspecified,,,,,,,,,S152863619,,,,,Continuing in South Lagoon of Botanic Garden,Aramus guarauna,limpki,Species,5642.0,,0.0,0.0,,1892.0,2652.0
434442801,Photo,Golden-cheeked Warbler,Setophaga chrysoparia,,Bert Filemyr,2022-04-08,2022.0,4.0,8.0,722.0,United States,US-TX-325,Texas,Medina,Private Residence- Mico TX,29.537877,-98.837752,,,Unspecified,,,,,,,,,S106532979,,,,,,Setophaga chrysoparia,gchwar,Species,33674.0,,0.0,0.0,,747.0,1000.0
611504236,Photo,Limpkin,Aramus guarauna,,Lila Lewis,2023-11-24,2023.0,11.0,24.0,1015.0,United States,US-TX-265,Texas,Kerr,Diertert Center,30.0510795,-99.1581345,,,Unspecified,,,,,,,,,S155115034,,,,,,Aramus guarauna,limpki,Species,5642.0,,2.0,1.0,,2546.0,2983.0
194811441,Photo,Red-tailed Hawk (abieticola),Buteo jamaicensis abieticola,,Brian Sullivan,2019-12-23,2019.0,12.0,23.0,1417.0,United States,US-AR-107,Arkansas,Phillips,"1346â1352 State Highway 318 E, Helena US-AR (34.4743,-90.7246)",34.474313,-90.724599,Immature â 1,,Unspecified,,,,,,,,,S62575777,,,,,"Photos. Subspecies ID tentative, as we still don't know with certainty how to identify immature abieticola. That said, this bird looks like a good candidate being much too heavily marked for typical immature borealis, yet quite different in characters from typical immature calurus. More study needed.",Buteo jamaicensis,rethaw4,Form,8317.0,,4.67,3.0,,1800.0,3000.0
615792181,Photo,Limpkin (Brown-backed),Aramus guarauna guarauna,,Nick Schleissmann,2023-11-28,2023.0,11.0,28.0,1700.0,Ecuador,EC-U,SucumbÃ­os,,Reserva BiolÃ³gica Limoncocha,-0.3955607,-76.6170283,,,Unspecified,,,,,,,,,S155400908,,,,,,Aramus guarauna,limpki2,Group,5647.0,,0.0,0.0,,4000.0,6000.0
504049501,Photo,Snowy Owl,Bubo scandiacus,,Thomas Heinrich,2018-01-20,2018.0,1.0,20.0,0.0,United States,US-CO-013,Colorado,Boulder,Boulder Reservoir complex--Sixmile Reservoir,40.0686722,-105.2226715,,,Unspecified,,,,,,,,,S122481599,,,,,Heard the report and made a quick sprint out to the Rez on my bike.  Many birders out to see this spectacular owl.  Photos to be submitted,Bubo scandiacus,snoowl1,Species,8704.0,,0.0,0.0,,1857.0,1857.0
612348871,Photo,Common Loon,Gavia immer,,Rob Bielawski,2023-12-17,2023.0,12.0,17.0,705.0,United States,US-VA-810,Virginia,Virginia Beach,Little Island Park,36.6939,-75.9243,,,Unspecified,,,,,,,,,S156526655,,,,,,Gavia immer,comloo,Species,6774.0,,3.0,1.0,,3857.0,6240.0
612866778,Photo,Northern Royal Albatross,Diomedea sanfordi,,Ana de Joux,2023-12-30,2023.0,12.0,30.0,1007.0,New Zealand,NZ-CAN-054,Canterbury,Kaikoura District,"Auto selected -42.55985, 173.65099",-42.559847,173.650991,,,Unspecified,,,,,,,,,S157447246,,,,,,Diomedea sanfordi,royalb3,Species,6813.0,,0.0,0.0,,,
311992251,Photo,American Bittern,Botaurus lentiginosus,,Adam Betuel,2021-02-26,2021.0,2.0,26.0,1552.0,United States,US-GA-089,Georgia,DeKalb,South Peachtree Creek Trail,33.8066856,-84.3010247,Adult â 1,,Unspecified,,,,,,,,,S82390419,,,,,"Continuing. Medium-sized chunky wading bird. Mix of browns and tans.  Heavily patterned. Streaked in the chest. Foraging almost constantly for tadpoles (with lots of success). In wetlands straight our from platform, not far from where boardwalk crosses the creek",Botaurus lentiginosus,amebit,Species,7335.0,,4.33,3.0,,3888.0,5184.0
428998611,Photo,Long-eared Owl,Asio otus,,David Howe & Rosanne Dawson,2022-03-26,2022.0,3.0,26.0,1149.0,Canada,CA-ON-OT,Ontario,Ottawa,Ottawa--Parkside Greenspace,45.3393479,-75.7385124,,,Unspecified,,,,,,,,,S105613335,,,,,Previously reported.,Asio otus,loeowl,Species,9045.0,,4.0,1.0,,3888.0,5184.0
614664929,Photo,American Robin,Turdus migratorius,,Ken Clark,2024-02-10,2024.0,2.0,10.0,1402.0,United States,US-MD-033,Maryland,Prince George's,Largo Town Center Park,38.896549,-76.839121,Adult â 1,,Unspecified,,,,,,,,,S161136699,,,,,,Turdus migratorius,amerob,Species,28096.0,,4.0,1.0,,3888.0,5184.0
541713281,Photo,Long-eared Owl,Asio otus,,Josh Jones,,,,,,United Kingdom,GB-ENG-LIN,England,Lincolnshire,,,,,,Unspecified,,,,,,,,,,,,,,,Asio otus,loeowl,Species,9045.0,,0.0,0.0,,2000.0,3000.0
610945741,Photo,Limpkin,Aramus guarauna,,cindy schulz,2023-11-09,2023.0,11.0,9.0,1450.0,United States,US-VA-087,Virginia,Henrico,Three Lakes Park & Nature Center,37.6160671,-77.429924,,,Unspecified,,,,,,,,,S154091228,,,,,Continuing bird,Aramus guarauna,limpki,Species,5642.0,,0.0,0.0,,1340.0,1453.0
613408811,Photo,Common Myna,Acridotheres tristis,,Dennis Devers,2024-01-12,2024.0,1.0,12.0,905.0,Australia,AU-QLD-MRB,Queensland,Moreton Bay,Hercules Road Kippa Ring,-27.2272116,153.0783575,,,Unspecified,,,,,,,,,S158683569,,,,,,Acridotheres tristis,commyn,Species,27402.0,,4.0,1.0,,1316.0,1974.0
527855081,Photo,Long-eared Owl,Asio otus,,John Fabrycky,,,,,,United States,US-IL-031,Illinois,Cook,,,,,,Unspecified,,,,,,,,,,,,,,,Asio otus,loeowl,Species,9045.0,,4.0,1.0,,4016.0,6016.0
614566341,Photo,Mallard,Anas platyrhynchos,,HÃ©lder Carrilho,2024-02-02,2024.0,2.0,2.0,1520.0,Portugal,PT-18-NE,Viseu,Nelas,Rio Mondego-N231,40.4998086,-7.824708,Adult Male â 1,,Unspecified,,,,,,,,,S160427144,,,,,,Anas platyrhynchos,mallar3,Species,515.0,,0.0,0.0,,1365.0,2048.0
615268975,Photo,American Robin,Turdus migratorius,,Gihyun Yoo,2024-02-24,2024.0,2.0,24.0,949.0,Canada,CA-ON-TO,Ontario,Toronto,Tommy Thompson Park,43.6282673,-79.329167,,Foraging or Eating,Unspecified,,,,,,,,,S162789627,,,,Feeding on sumac,,Turdus migratorius,amerob,Species,28096.0,,4.0,1.0,,3277.0,2395.0
588226771,Photo,Snowy Owl,Bubo scandiacus,,Adam R.,2021-04-18,2021.0,4.0,18.0,1815.0,United States,US-MN-053,Minnesota,Hennepin,"MSP Aircraft Viewing Area, Cargo Rd",44.8819954,-93.2287359,,,Unspecified,,,,,,,,,S142706090,,,,,"White with some darker barring, most likely a female. Got a great look with my binoculars, as the owl was only a few hundred feet away, perched on top of a John Deere tractor. It then flew to perch on top of a streetlight in the parking lot. I got a grainy photo with my phone camera.",Bubo scandiacus,snoowl1,Species,8704.0,,2.0,1.0,,928.0,846.0
610932742,Photo,Glossy Ibis,Plegadis falcinellus,,Suzhal Arivom (Group Account),2023-11-09,2023.0,11.0,9.0,1336.0,India,IN-TN-ER,Tamil Nadu,Erode,Elathur Pond (à®à®²à®¤à¯à®¤à¯à®°à¯ à®à¯à®³à®®à¯),11.3894204,77.3155595,,,Unspecified,,,,,,,,,S154071989,,,,,Flock seen flying,Plegadis falcinellus,gloibi,Species,7551.0,,0.0,0.0,,840.0,1197.0
524175981,Photo,Common Myna,Acridotheres tristis,,Morgan Witty,2021-01-12,2021.0,1.0,12.0,1100.0,Australia,AU-QLD-CAI,Queensland,Cairns,Port Douglas,-16.4827421,145.4641479,,,Unspecified,,,,,,,,,S80168623,,,,,,Acridotheres tristis,commyn,Species,27402.0,,5.0,2.0,,2567.0,3851.0
610867125,Photo,American Bittern,Botaurus lentiginosus,,Gerry Hawkins,2023-11-07,2023.0,11.0,7.0,703.0,United States,US-DC-001,District of Columbia,District of Columbia,Kenilworth Park and Aquatic Gardens,38.9133204,-76.9443433,Adult â 1,,Unspecified,,,,,,,,,S153962440,,,,,Continuing in a marshy area by the lily ponds at KAG.,Botaurus lentiginosus,amebit,Species,7335.0,,4.38,8.0,,3888.0,5184.0
612535358,Photo,Long-eared Owl,Asio otus,,JamEs ParRis,,,,,,United States,US-NJ-021,New Jersey,Mercer,,,,,,Unspecified,,,,,,,,,,,,,,,Asio otus,loeowl,Species,9045.0,,3.0,1.0,,3456.0,4608.0
614641606,Photo,Limpkin,Aramus guarauna,,Mark Dennis,2024-02-01,2024.0,2.0,1.0,1424.0,Mexico,MX-ROO-009,Quintana Roo,Tulum,Laguna CobÃ¡,20.4918848,-87.7387905,,,Unspecified,,,,,,,,,S160359622,,,,,,Aramus guarauna,limpki,Species,5642.0,,3.0,1.0,,1046.0,1499.0
615194083,Photo,Mallard,Anas platyrhynchos,,Robert King,2024-02-20,2024.0,2.0,20.0,1030.0,United States,US-PA-091,Pennsylvania,Montgomery,High School Park,40.0712409,-75.1238143,,,Unspecified,,,,,,,,,S162424956,,,,,,Anas platyrhynchos,mallar3,Species,515.0,,0.0,0.0,,3445.0,4250.0
614105293,Photo,American Robin,Turdus migratorius,,James Harding,2024-01-27,2024.0,1.0,27.0,1330.0,United States,US-NJ-031,New Jersey,Passaic,Bloomingdale  home,41.019205,-74.3415942,,,Unspecified,,,,,,,,,S159939046,,,,,Holly berries finally are sweet enough for the birds to eat,Turdus migratorius,amerob,Species,28096.0,,0.0,0.0,,875.0,1094.0
493842641,Photo,Red-tailed Hawk (Harlan's),Buteo jamaicensis harlani,,Geoffrey Newell,2022-10-14,2022.0,10.0,14.0,1045.0,Canada,CA-BC-CP,British Columbia,Capital,Uplands Park,48.4416354,-123.2988112,,,Unspecified,,,,,,,,,S120682292,,,,,"A beautiful dark morph juvenile Harlan's! Black-bodied Red-tailed (lacking warm brown tones of typical birds). Very crisp and contrasting barring on primaries (right to primary tips), secondaries, and tail. White streaking on body and white markings on underwing coverts. Great looks low down then later observed higher with Turkey Vulture and Red-tailed Hawk kettle.",Buteo jamaicensis,hrthaw1,Group,8319.0,,5.0,3.0,,757.0,1134.0
152432201,Photo,Golden-cheeked Warbler,Setophaga chrysoparia,,Liam Wolff,2019-04-16,2019.0,4.0,16.0,1015.0,United States,US-TX-099,Texas,Coryell,Manning Mountain (TA 51 - Restricted Access),31.2707021,-97.7817364,Adult Male,,Unspecified,,,,,,,,,S55021336,,,,"Unbanded male, new on study site",,Setophaga chrysoparia,gchwar,Species,33674.0,,3.4,5.0,,2664.0,4000.0
436166051,Photo,American Bittern,Botaurus lentiginosus,,Emily Hjalmarson,2022-04-04,2022.0,4.0,4.0,1838.0,United States,US-WI-025,Wisconsin,Dane,UW Madison Arboretum--Spring Trail Pond,43.0500236,-89.4365772,,,Unspecified,,,,,,,,,S106621755,,,,,Photos,Botaurus lentiginosus,amebit,Species,7335.0,,4.5,2.0,,2748.0,4123.0
615918184,Photo,Mallard,Anas platyrhynchos,,Shelly Windett,2024-03-10,2024.0,3.0,10.0,1333.0,United States,US-MT-013,Montana,Cascade,Gibson Park,47.5123036,-111.3043338,,,Unspecified,,,,,,,,,S164352420,,,,,,Anas platyrhynchos,mallar3,Species,515.0,,0.0,0.0,,3456.0,4608.0
461586851,Photo,Red-tailed Hawk,Buteo jamaicensis,,Laura Sisitzky,2022-06-21,2022.0,6.0,21.0,1315.0,United States,US-MA-017,Massachusetts,Middlesex,Horn Pond Recreation Area,42.4680852,-71.1582396,,,Unspecified,,,,,,,,,S113501547,,,,,,Buteo jamaicensis,rethaw,Species,8312.0,,4.67,3.0,,3684.0,5378.0
612514848,Photo,Common Loon,Gavia immer,,Martin  Flack,2023-12-21,2023.0,12.0,21.0,1344.0,United Kingdom,GB-ENG-WOR,England,Worcestershire,Croft Farm Waterpark,52.0175111,-2.1333819,,,Unspecified,,,,,,,,,S156846733,,,,,Feeding off the cafÃ© in very windy conditions,Gavia immer,comloo,Species,6774.0,,0.0,0.0,,1937.0,2906.0
615692698,Photo,Wood Duck,Aix sponsa,,Gilles Ethier,2024-03-05,2024.0,3.0,5.0,1047.0,Canada,CA-QC-HR,Quebec,Le Haut-Richelieu,"Champs inondÃ©s, 53e Ã  101e av.",45.1825543,-73.2679705,,,Unspecified,,,,,,,,,S163793193,,,,,Voir photos,Aix sponsa,wooduc,Species,433.0,,0.0,0.0,,1008.0,2461.0
140396291,Photo,Red-tailed Hawk,Buteo jamaicensis,,Linda Thomas,2019-02-12,2019.0,2.0,12.0,1130.0,United States,US-CA-059,California,Orange,Irvine Regional Park,33.7968382,-117.7532673,,,Unspecified,,,,,,,,,S52637188,,,,Hence the name.,,Buteo jamaicensis,rethaw,Species,8312.0,,4.0,4.0,,1779.0,1440.0
609564371,Photo,Glossy Ibis,Plegadis falcinellus,,Robert Anderson,2023-10-01,2023.0,10.0,1.0,1828.0,Australia,AU-VIC-GGE,Victoria,Greater Geelong,Western Treatment Plant [Greater Geelong],-38.0250755,144.5430496,,,Unspecified,,,,,,,,,S151141890,,,,,,Plegadis falcinellus,gloibi,Species,7551.0,,0.0,0.0,,2684.0,3257.0
615336881,Photo,Common Loon,Gavia immer,,Collin Porter,2024-02-25,2024.0,2.0,25.0,744.0,United States,US-IL-031,Illinois,Cook,"Gillson Park, Wilmette",42.078,-87.6819,,,Unspecified,,,,,,,,,S162866061,,,,,"Flyby, still mulling over this one a bit based on unusual timing. Pics show dark neck, pretty straight and chunky bill, large feet. Wish I had nailed focus earlier",Gavia immer,comloo,Species,6774.0,,0.0,0.0,,595.0,892.0
612655375,Photo,Common Loon,Gavia immer,,Kevin McGrath,2023-12-25,2023.0,12.0,25.0,1405.0,United States,US-NY-119,New York,Westchester,Sheldrake Lake (Larchmont Reservoir),40.9527912,-73.7738478,,,Unspecified,,,,,,,,,S157116993,,,,,,Gavia immer,comloo,Species,6774.0,,0.0,0.0,,2580.0,3024.0
611280984,Photo,Wood Duck,Aix sponsa,,kenneth lipshy,2023-11-18,2023.0,11.0,18.0,1247.0,United States,US-NC-159,North Carolina,Rowan,Dan Nicholas Park,35.635775,-80.3494119,,,Unspecified,,,,,,,,,S154698220,,,,,,Aix sponsa,wooduc,Species,433.0,,0.0,0.0,,3456.0,4608.0
614493843,Photo,Mallard,Anas platyrhynchos,,John/Linda Mendoza,2024-02-06,2024.0,2.0,6.0,917.0,United States,US-WA-031,Washington,Jefferson,Fort Worden SP--Chinese Gardens Pond,48.1377918,-122.7787089,,,Unspecified,,,,,,,,,S160808336,,,,,,Anas platyrhynchos,mallar3,Species,515.0,,0.0,0.0,,648.0,789.0
583323891,Photo,Common Myna,Acridotheres tristis,,Isaiah Craft,2023-06-10,2023.0,6.0,10.0,1328.0,United States,US-FL-103,Florida,Pinellas,The Shoppes at Park Place,27.8379137,-82.6858981,,,Unspecified,,,,,,,,,S141117326,,,,,Continuing. Photos. Lifer,Acridotheres tristis,commyn,Species,27402.0,,5.0,2.0,,3456.0,4608.0
593151781,Photo,Long-eared Owl,Asio otus,,Simon Pearce,,,,,,United Kingdom,GB-ENG-ERY,England,East Riding of Yorkshire,,,,,,Unspecified,,,,,,,,,,,,,,,Asio otus,loeowl,Species,9045.0,,0.0,0.0,,1752.0,2628.0
615101635,Photo,Snowy Owl,Bubo scandiacus,,Trillium Magus,2024-02-17,2024.0,2.0,17.0,902.0,United States,US-WA-017,Washington,Douglas,Waterville Plateau -- Atkins Lake,47.6232605,-119.4848585,,,Unspecified,,,,,,,,,S162250750,,,,,,Bubo scandiacus,snoowl1,Species,8704.0,,2.0,2.0,,3648.0,5472.0
615822716,Photo,Common Loon,Gavia immer,,Lilian Saul,2024-03-02,2024.0,3.0,2.0,1626.0,United States,US-FL-057,Florida,Hillsborough,Hillsborough Bay,27.8901611,-82.4557649,,,Unspecified,,,,,,,,,S164208545,,,,,,Gavia immer,comloo,Species,6774.0,,0.0,0.0,,85.0,157.0
613120057,Photo,Long-eared Owl,Asio otus,,Liette Desfosses,2024-01-01,2024.0,1.0,1.0,1015.0,Canada,CA-QC-MR,Quebec,MontrÃ©al,Parc FrÃ©dÃ©ric-Back,45.5606311,-73.6340994,,,Unspecified,,,,,,,,,S157708641,,,,,PrÃ©sence connue.  Les 4 sont prÃ©sents ce matin. 2 par arbre,Asio otus,loeowl,Species,9045.0,,0.0,0.0,,4793.0,4292.0
465909281,Photo,Long-eared Owl,Asio otus,,eric del,2022-07-08,2022.0,7.0,8.0,1300.0,France,FR-GES-08,Grand Est,Ardennes,Saint-Pierre-Ã -Arnes--village,49.2993932,4.4542447,,,Unspecified,,,,,,,,,S114681130,,,,,prÃ©sent de 13h00 a 19h00 dans un saule,Asio otus,loeowl,Species,9045.0,,0.0,0.0,,2048.0,1365.0
463079751,Photo,Red-tailed Hawk (calurus/alascensis),Buteo jamaicensis calurus/alascensis,,Mark Chappell,2019-11-01,2019.0,11.0,1.0,720.0,United States,US-CA-065,California,Riverside,San Jacinto Wildlife Area,33.8854488,-117.104104,,,Unspecified,,,,,,,,,S113929000,,,,,"large, chunky, broad-winged buteo with red tail, brown back, pale undersides with spotted belly band and dark carpal bar on underwing coverts.",Buteo jamaicensis,wrthaw1,Group,8313.0,,5.0,2.0,,2833.0,4507.0
522011891,Photo,Long-eared Owl,Asio otus,,Lucy Spade,,,,,,United States,US-TX-329,Texas,Midland,,,,,,Unspecified,,,,,,,,,,,,,,,Asio otus,loeowl,Species,9045.0,,5.0,3.0,,5760.0,8640.0
614072900,Photo,Wood Duck,Aix sponsa,,Ursula  Mitra,2024-01-27,2024.0,1.0,27.0,1505.0,United States,US-NY-061,New York,New York,Central Park--Jacqueline Kennedy Onassis Reservoir,40.786003,-73.96196,,,Unspecified,,,,,,,,,S159956856,,,,,Drake,Aix sponsa,wooduc,Species,433.0,,0.0,0.0,,2736.0,3648.0
463223901,Photo,Snowy Owl,Bubo scandiacus,,Mayte Torres,2022-06-27,2022.0,6.0,27.0,1707.0,United States,US-NY-097,New York,Schuyler,"2899-2767 County Route 23, Watkins Glen, New York, US (42.391, -76.914)",42.3913756,-76.914064,,,Unspecified,,,,,,,,,S113921642,,,,,Same location.,Bubo scandiacus,snoowl1,Species,8704.0,,0.0,0.0,,2664.0,4000.0
161263341,Photo,Razorbill,Alca torda,,Marie O'Neill,2019-05-24,2019.0,5.0,24.0,512.0,Canada,CA-QC-RM,Quebec,Rimouski-Neigette,"Quai, Pointe-au-PÃ¨re",48.5188557,-68.4732342,Adult,,Unspecified,,,,,,,,,S56807693,,,,,,Alca torda,razorb,Species,6372.0,,3.0,1.0,,1365.0,2048.0
504687321,Photo,Snowy Owl,Bubo scandiacus,,Jeanette Frazier,2022-11-12,2022.0,11.0,12.0,1119.0,Canada,CA-MB-EE,Manitoba,Churchill and Northern Manitoba,"Tundra Lodge Entrance 58.77013, -93.78349",58.770131,-93.78349,,,Unspecified,,,,,,,,,S122371995,,,,,,Bubo scandiacus,snoowl1,Species,8704.0,,3.0,1.0,,3456.0,4608.0
416238191,Photo,Golden-cheeked Warbler,Setophaga chrysoparia,,Hermes Vega,2022-02-12,2022.0,2.0,12.0,916.0,Honduras,HN-IN,IntibucÃ¡,,Bosque Los Helechos,14.3046395,-88.139761,,,Unspecified,,,,,,,,,S102627185,,,,,,Setophaga chrysoparia,gchwar,Species,33674.0,,2.0,1.0,,2592.0,4608.0
615039792,Photo,American Robin,Turdus migratorius,,Beth Bruckheimer,2024-02-18,2024.0,2.0,18.0,1227.0,United States,US-AZ-013,Arizona,Maricopa,FR25 - First 2 miles from FR201,33.9379549,-111.4674252,,,Unspecified,,,,,,,,,S162094571,,,,,,Turdus migratorius,amerob,Species,28096.0,,0.0,0.0,,2434.0,4157.0
